5,3,1,0,Iris-setosa
4,3,1,0,Iris-setosa
4,3,1,0,Iris-setosa
4,3,1,0,Iris-setosa
5,3,1,0,Iris-setosa
5,3,1,0,Iris-setosa
4,3,1,0,Iris-setosa
5,3,1,0,Iris-setosa
4,2,1,0,Iris-setosa
4,3,1,0,Iris-setosa
5,3,1,0,Iris-setosa
4,3,1,0,Iris-setosa
4,3,1,0,Iris-setosa
4,3,1,0,Iris-setosa
5,4,1,0,Iris-setosa
5,4,1,0,Iris-setosa
5,3,1,0,Iris-setosa
5,3,1,0,Iris-setosa
5,3,1,0,Iris-setosa
5,3,1,0,Iris-setosa
5,3,1,0,Iris-setosa
5,3,1,0,Iris-setosa
4,3,1,0,Iris-setosa
5,3,1,0,Iris-setosa
4,3,1,0,Iris-setosa
5,3,1,0,Iris-setosa
5,3,1,0,Iris-setosa
5,3,1,0,Iris-setosa
5,3,1,0,Iris-setosa
4,3,1,0,Iris-setosa
4,3,1,0,Iris-setosa
5,3,1,0,Iris-setosa
5,4,1,0,Iris-setosa
5,4,1,0,Iris-setosa
4,3,1,0,Iris-setosa
5,3,1,0,Iris-setosa
5,3,1,0,Iris-setosa
4,3,1,0,Iris-setosa
4,3,1,0,Iris-setosa
5,3,1,0,Iris-setosa
5,3,1,0,Iris-setosa
4,2,1,0,Iris-setosa
4,3,1,0,Iris-setosa
5,3,1,0,Iris-setosa
5,3,1,0,Iris-setosa
4,3,1,0,Iris-setosa
5,3,1,0,Iris-setosa
4,3,1,0,Iris-setosa
5,3,1,0,Iris-setosa
5,3,1,0,Iris-setosa
7,3,4,1,Iris-versicolor
6,3,4,1,Iris-versicolor
6,3,4,1,Iris-versicolor
5,2,4,1,Iris-versicolor
6,2,4,1,Iris-versicolor
5,2,4,1,Iris-versicolor
6,3,4,1,Iris-versicolor
4,2,3,1,Iris-versicolor
6,2,4,1,Iris-versicolor
5,2,3,1,Iris-versicolor
5,2,3,1,Iris-versicolor
5,3,4,1,Iris-versicolor
6,2,4,1,Iris-versicolor
6,2,4,1,Iris-versicolor
5,2,3,1,Iris-versicolor
6,3,4,1,Iris-versicolor
5,3,4,1,Iris-versicolor
5,2,4,1,Iris-versicolor
6,2,4,1,Iris-versicolor
5,2,3,1,Iris-versicolor
5,3,4,1,Iris-versicolor
6,2,4,1,Iris-versicolor
6,2,4,1,Iris-versicolor
6,2,4,1,Iris-versicolor
6,2,4,1,Iris-versicolor
6,3,4,1,Iris-versicolor
6,2,4,1,Iris-versicolor
6,3,5,1,Iris-versicolor
6,2,4,1,Iris-versicolor
5,2,3,1,Iris-versicolor
5,2,3,1,Iris-versicolor
5,2,3,1,Iris-versicolor
5,2,3,1,Iris-versicolor
6,2,5,1,Iris-versicolor
5,3,4,1,Iris-versicolor
6,3,4,1,Iris-versicolor
6,3,4,1,Iris-versicolor
6,2,4,1,Iris-versicolor
5,3,4,1,Iris-versicolor
5,2,4,1,Iris-versicolor
5,2,4,1,Iris-versicolor
6,3,4,1,Iris-versicolor
5,2,4,1,Iris-versicolor
5,2,3,1,Iris-versicolor
5,2,4,1,Iris-versicolor
5,3,4,1,Iris-versicolor
5,2,4,1,Iris-versicolor
6,2,4,1,Iris-versicolor
5,2,3,1,Iris-versicolor
5,2,4,1,Iris-versicolor
6,3,6,2,Iris-virginica
5,2,5,1,Iris-virginica
7,3,5,2,Iris-virginica
6,2,5,1,Iris-virginica
6,3,5,2,Iris-virginica
7,3,6,2,Iris-virginica
4,2,4,1,Iris-virginica
7,2,6,1,Iris-virginica
6,2,5,1,Iris-virginica
7,3,6,2,Iris-virginica
6,3,5,2,Iris-virginica
6,2,5,1,Iris-virginica
6,3,5,2,Iris-virginica
5,2,5,2,Iris-virginica
5,2,5,2,Iris-virginica
6,3,5,2,Iris-virginica
6,3,5,1,Iris-virginica
7,3,6,2,Iris-virginica
7,2,6,2,Iris-virginica
6,2,5,1,Iris-virginica
6,3,5,2,Iris-virginica
5,2,4,2,Iris-virginica
7,2,6,2,Iris-virginica
6,2,4,1,Iris-virginica
6,3,5,2,Iris-virginica
7,3,6,1,Iris-virginica
6,2,4,1,Iris-virginica
6,3,4,1,Iris-virginica
6,2,5,2,Iris-virginica
7,3,5,1,Iris-virginica
7,2,6,1,Iris-virginica
7,3,6,2,Iris-virginica
6,2,5,2,Iris-virginica
6,2,5,1,Iris-virginica
6,2,5,1,Iris-virginica
7,3,6,2,Iris-virginica
6,3,5,2,Iris-virginica
6,3,5,1,Iris-virginica
6,3,4,1,Iris-virginica
6,3,5,2,Iris-virginica
6,3,5,2,Iris-virginica
6,3,5,2,Iris-virginica
5,2,5,1,Iris-virginica
6,3,5,2,Iris-virginica
6,3,5,2,Iris-virginica
6,3,5,2,Iris-virginica
6,2,5,1,Iris-virginica
6,3,5,2,Iris-virginica
6,3,5,2,Iris-virginica
5,3,5,1,Iris-virginica
